document_title,question_text,short_answer,yes_no_answer
Helter Skelter (Manson scenario),where does the term helter skelter come from,"[{'short_answer1': [{'end_byte': 61973, 'end_token': 702, 'start_byte': 61861, 'start_token': 693}]}]",NONE
List of current champions in WWE,who is the current cruiserweight champion in wwe,"[{'short_answer1': [{'end_byte': 73444, 'end_token': 1273, 'start_byte': 73428, 'start_token': 1271}]}, {'short_answer2': [{'end_byte': 61316, 'end_token': 531, 'start_byte': 61300, 'start_token': 529}]}, {'short_answer3': [{'end_byte': 61316, 'end_token': 531, 'start_byte': 61300, 'start_token': 529}]}, {'short_answer4': [{'end_byte': 61316, 'end_token': 531, 'start_byte': 61300, 'start_token': 529}]}]",NONE
Ashvamedha,who issued ashwamedha coins after performing ashvamedha sacrifice,"[{'short_answer1': [{'end_byte': 59887, 'end_token': 1264, 'start_byte': 59875, 'start_token': 1263}]}]",NONE
Economy of the Ming dynasty,what type of government did the ming dynasty have,[],NONE
Mughal gardens,the mughal garden of rashtrapati bhavan is modelled on which garden,"[{'short_answer1': [{'end_byte': 47473, 'end_token': 234, 'start_byte': 47465, 'start_token': 233}]}, {'short_answer2': [{'end_byte': 43768, 'end_token': 101, 'start_byte': 43693, 'start_token': 98}]}]",NONE
Andreas Vesalius,who was the sixteenth century physician who published,"[{'short_answer1': [{'end_byte': 58826, 'end_token': 234, 'start_byte': 58810, 'start_token': 232}]}, {'short_answer2': [{'end_byte': 58826, 'end_token': 234, 'start_byte': 58810, 'start_token': 232}]}]",NONE
Politics of Houston,how many terms can a mayor serve in texas,"[{'short_answer1': [{'end_byte': 46762, 'end_token': 301, 'start_byte': 46743, 'start_token': 296}]}]",NONE
Star Wars: The Force Awakens,when is star wars the force awakens set,"[{'short_answer1': [{'end_byte': 50865, 'end_token': 518, 'start_byte': 50829, 'start_token': 511}]}, {'short_answer2': [{'end_byte': 60875, 'end_token': 1097, 'start_byte': 60772, 'start_token': 1090}]}, {'short_answer3': [{'end_byte': 50865, 'end_token': 518, 'start_byte': 50829, 'start_token': 511}]}, {'short_answer4': [{'end_byte': 60880, 'end_token': 1098, 'start_byte': 60772, 'start_token': 1090}]}]",NONE
April Kepner,who failed the boards on grey's anatomy,[],NONE
The Rime of the Ancient Mariner,rime of the ancient mariner lyrics samuel taylor coleridge,[],NONE
Light-dependent reactions,where does the light reaction of photosynthesis occur,"[{'short_answer1': [{'end_byte': 55991, 'end_token': 43, 'start_byte': 55881, 'start_token': 39}]}, {'short_answer2': [{'end_byte': 55991, 'end_token': 43, 'start_byte': 55881, 'start_token': 39}]}, {'short_answer3': [{'end_byte': 55991, 'end_token': 43, 'start_byte': 55881, 'start_token': 39}]}, {'short_answer4': [{'end_byte': 55991, 'end_token': 43, 'start_byte': 55881, 'start_token': 39}]}]",NONE
Condensation reaction,where do condensation reactions occur in the body,[],NONE
Once Upon a Time in China,once upon a time in china jet li full movie,[],NONE
Chromosome 21 (human),where does the extra chromosome 21 come from,"[{'short_answer1': [{'end_byte': 66258, 'end_token': 1370, 'start_byte': 66174, 'start_token': 1359}]}]",NONE
Siege of Corinth,where did the battle of corinth take place,"[{'short_answer1': [{'end_byte': 67864, 'end_token': 435, 'start_byte': 67844, 'start_token': 432}]}, {'short_answer2': [{'end_byte': 67864, 'end_token': 435, 'start_byte': 67844, 'start_token': 432}]}, {'short_answer3': [{'end_byte': 67864, 'end_token': 435, 'start_byte': 67775, 'start_token': 431}]}]",NONE
Article One of the United States Constitution,under article 1 what is the minimum age required to serve in the house of representatives,"[{'short_answer1': [{'end_byte': 80371, 'end_token': 2344, 'start_byte': 80359, 'start_token': 2341}]}, {'short_answer2': [{'end_byte': 80361, 'end_token': 2342, 'start_byte': 80359, 'start_token': 2341}]}]",NONE
"St. Petersburg, Florida",what is the population of st petersburg fl,"[{'short_answer1': [{'end_byte': 56807, 'end_token': 643, 'start_byte': 56800, 'start_token': 642}]}, {'short_answer2': [{'end_byte': 53782, 'end_token': 458, 'start_byte': 53775, 'start_token': 457}]}, {'short_answer3': [{'end_byte': 56807, 'end_token': 643, 'start_byte': 56749, 'start_token': 632}]}, {'short_answer4': [{'end_byte': 56807, 'end_token': 643, 'start_byte': 56800, 'start_token': 642}]}]",NONE
Secure Shell,​which of the following is not an encryption algorithm used by ssh,[],NONE
Holes (novel),how many copies of holes have been sold,[],NONE
Los Angeles Chargers,where do the chargers and rams play football,[],NONE
Prudential Center,who plays at the prudential center in newark,"[{'short_answer1': [{'end_byte': 54241, 'end_token': 550, 'start_byte': 54224, 'start_token': 547}, {'end_byte': 54505, 'end_token': 566, 'start_byte': 54466, 'start_token': 560}]}, {'short_answer2': [{'end_byte': 54355, 'end_token': 558, 'start_byte': 54224, 'start_token': 547}, {'end_byte': 54609, 'end_token': 571, 'start_byte': 54466, 'start_token': 560}]}, {'short_answer3': [{'end_byte': 54355, 'end_token': 558, 'start_byte': 54224, 'start_token': 547}, {'end_byte': 54609, 'end_token': 571, 'start_byte': 54466, 'start_token': 560}]}, {'short_answer4': [{'end_byte': 54241, 'end_token': 550, 'start_byte': 54224, 'start_token': 547}, {'end_byte': 54484, 'end_token': 563, 'start_byte': 54466, 'start_token': 560}]}]",NONE
Milky Way,where does the sun lie within the milky way galaxy,"[{'short_answer1': [{'end_byte': 139897, 'end_token': 5547, 'start_byte': 139168, 'start_token': 5504}]}, {'short_answer2': [{'end_byte': 61168, 'end_token': 573, 'start_byte': 60979, 'start_token': 555}]}, {'short_answer3': [{'end_byte': 139896, 'end_token': 5546, 'start_byte': 139168, 'start_token': 5504}]}]",NONE
United States congressional delegations from New Jersey,who represents nj in the house of representatives,[],NONE
Wikipedia:Citing Wikipedia,how to find the publication date of a wikipedia article,"[{'short_answer1': [{'end_byte': 73361, 'end_token': 1342, 'start_byte': 73305, 'start_token': 1330}]}, {'short_answer2': [{'end_byte': 73361, 'end_token': 1342, 'start_byte': 73305, 'start_token': 1330}]}]",NONE
Behind Closed Doors (Charlie Rich song),country song when we get behind closed doors,[],NONE
Climate of Asia,the cold dry winds that blow over northern india in winter are called,"[{'short_answer1': [{'end_byte': 73907, 'end_token': 1520, 'start_byte': 73857, 'start_token': 1515}]}, {'short_answer2': [{'end_byte': 73874, 'end_token': 1517, 'start_byte': 73857, 'start_token': 1515}, {'end_byte': 73907, 'end_token': 1520, 'start_byte': 73889, 'start_token': 1518}]}]",NONE
Article Two of the United States Constitution,what are the president's duties as stated in the constitution,[],NONE
Lord Byron,who is said to have been with boxer when he was on his deathbed,[],NONE
Tom Brady,how long has tom brady been the patriots quarterback,"[{'short_answer1': [{'end_byte': 69154, 'end_token': 651, 'start_byte': 69144, 'start_token': 649}]}, {'short_answer2': [{'end_byte': 69154, 'end_token': 651, 'start_byte': 69144, 'start_token': 649}]}, {'short_answer3': [{'end_byte': 106776, 'end_token': 3412, 'start_byte': 106772, 'start_token': 3411}]}]",NONE
Folk-Country,who wrote the song stop the world and let me off,"[{'short_answer1': [{'end_byte': 65653, 'end_token': 950, 'start_byte': 65643, 'start_token': 948}, {'end_byte': 65674, 'end_token': 953, 'start_byte': 65659, 'start_token': 951}]}, {'short_answer2': [{'end_byte': 65653, 'end_token': 950, 'start_byte': 65643, 'start_token': 948}, {'end_byte': 65674, 'end_token': 953, 'start_byte': 65659, 'start_token': 951}]}]",NONE
Political campaign,1. what are five duties of political parties,[],NONE
Young Sheldon,why are there no new episodes of young sheldon,[],NONE
Kansas City Chiefs,who did the chiefs play in the playoffs,"[{'short_answer1': [{'end_byte': 134303, 'end_token': 6267, 'start_byte': 134225, 'start_token': 6264}]}]",NONE
Novel,how to explain the genre of a book,[],NONE
Hurricane Charley,what category was hurricane charley when it hit florida,"[{'short_answer1': [{'end_byte': 47417, 'end_token': 289, 'start_byte': 47416, 'start_token': 288}]}, {'short_answer2': [{'end_byte': 47417, 'end_token': 289, 'start_byte': 47406, 'start_token': 287}]}, {'short_answer3': [{'end_byte': 63890, 'end_token': 1485, 'start_byte': 63880, 'start_token': 1483}]}, {'short_answer4': [{'end_byte': 63890, 'end_token': 1485, 'start_byte': 63880, 'start_token': 1483}]}]",NONE
List of multilingual countries and regions,what are the four countries with a higher spanish-speaking population than the u.s,[],NONE
"Indian Institute of Science Education and Research, Mohali",indian institute of science education and research mohali contact,[],NONE
Railroad car,what are the different types of train cars,[],NONE
Book of Revelation,where in the bible is the book of revelation,"[{'short_answer1': [{'end_byte': 54210, 'end_token': 457, 'start_byte': 54190, 'start_token': 453}]}, {'short_answer2': [{'end_byte': 78219, 'end_token': 2081, 'start_byte': 78210, 'start_token': 2079}]}]",NONE
Come to Me (Goo Goo Dolls song),come to me goo goo dolls lyrics meaning,[],NONE
Spider web,why are there so many spider webs in the trees,[],NONE
Masters of the Universe (film),who played skeletor in the movie masters of the universe,"[{'short_answer1': [{'end_byte': 58059, 'end_token': 1412, 'start_byte': 58045, 'start_token': 1410}]}, {'short_answer2': [{'end_byte': 58059, 'end_token': 1412, 'start_byte': 58045, 'start_token': 1410}]}, {'short_answer3': [{'end_byte': 58059, 'end_token': 1412, 'start_byte': 58045, 'start_token': 1410}]}, {'short_answer4': [{'end_byte': 58059, 'end_token': 1412, 'start_byte': 58045, 'start_token': 1410}]}]",NONE
NBA All-Star Game,who has the most votes for the all star game,[],NONE
The Wedding of River Song,when do river and the doctor get married,[],NONE
The Decembrist,what happened to berlin's daughter on the blacklist,[],NONE
Once Upon a Time (season 3),once upon a time season 3 where is ruby,"[{'short_answer1': [{'end_byte': 116143, 'end_token': 5360, 'start_byte': 115884, 'start_token': 5346}]}]",NONE
Automotive industry in India,top 10 companies in automobile sector in india,[],NONE
Miss America 1921,who won the first aaad beauty pageant contest,[],NONE
Mad Max,when was the first mad max movie release,"[{'short_answer1': [{'end_byte': 58412, 'end_token': 217, 'start_byte': 58397, 'start_token': 214}]}, {'short_answer2': [{'end_byte': 59658, 'end_token': 292, 'start_byte': 59654, 'start_token': 291}]}, {'short_answer3': [{'end_byte': 61169, 'end_token': 417, 'start_byte': 61159, 'start_token': 415}]}, {'short_answer4': [{'end_byte': 59658, 'end_token': 292, 'start_byte': 59654, 'start_token': 291}]}]",NONE
Body composition,the skin fold thickness method of assessing body composition often utilizes the bod pod.​,[],NONE
New Zealand bank account number,new zealand bank bsb numbers and swift codes,[],NONE
Don't Tell Mom the Babysitter's Dead,the cast of don't tell mom the babysitter's dead,[],NONE
Ving Rhames,who does the voice overs for the arbys commercials,[],NONE
Sympathetic nervous system,what does the adrenal gland produce that is necessary for the sympathetic nervous system to function,"[{'short_answer1': [{'end_byte': 86746, 'end_token': 2357, 'start_byte': 86735, 'start_token': 2356}]}, {'short_answer2': [{'end_byte': 86746, 'end_token': 2357, 'start_byte': 86735, 'start_token': 2356}]}]",NONE
List of Boruto: Naruto Next Generations episodes,when do new episodes of boruto come out,[],NONE
List of Chronicles of Narnia cast members,who played ice queen in chronicles of narnia,"[{'short_answer1': [{'end_byte': 53738, 'end_token': 679, 'start_byte': 53727, 'start_token': 677}]}, {'short_answer2': [{'end_byte': 47176, 'end_token': 277, 'start_byte': 47163, 'start_token': 275}]}]",NONE
Cell theory,what is the most fundamental unit of life according to the cell theory,"[{'short_answer1': [{'end_byte': 43386, 'end_token': 82, 'start_byte': 43381, 'start_token': 81}]}, {'short_answer2': [{'end_byte': 44070, 'end_token': 174, 'start_byte': 44065, 'start_token': 173}]}, {'short_answer3': [{'end_byte': 44070, 'end_token': 174, 'start_byte': 44065, 'start_token': 173}]}, {'short_answer4': [{'end_byte': 43386, 'end_token': 82, 'start_byte': 43381, 'start_token': 81}]}]",NONE
Still Got the Blues (For You),song i still got the blues for you,[],NONE
Edman degradation,one round of edman degradation yields a methionine phenylthiohydantoin,[],NONE
People Are Crazy,who sings god is great beer is good,"[{'short_answer1': [{'end_byte': 65426, 'end_token': 614, 'start_byte': 65416, 'start_token': 613}]}]",NONE
Internal energy,what causes changes of state in a system,[],NONE
Toyota,when did toyota start making cars in the us,"[{'short_answer1': [{'end_byte': 186859, 'end_token': 9207, 'start_byte': 186855, 'start_token': 9206}]}, {'short_answer2': [{'end_byte': 186859, 'end_token': 9207, 'start_byte': 186855, 'start_token': 9206}]}]",NONE
Ceramic art,the art and science of making objects from clay is called,"[{'short_answer1': [{'end_byte': 57985, 'end_token': 47, 'start_byte': 57978, 'start_token': 46}]}, {'short_answer2': [{'end_byte': 57989, 'end_token': 48, 'start_byte': 57978, 'start_token': 46}]}, {'short_answer3': [{'end_byte': 57989, 'end_token': 48, 'start_byte': 57978, 'start_token': 46}]}]",NONE
French Constitution of 1791,when was the draft of the national assembly constitution completed what was its main objective,[],NONE
Business process,which is not characteristic of a process based structure,[],NONE
Michigan Wolverines men's basketball,when was the last time michigan basketball won the championship,"[{'short_answer1': [{'end_byte': 164940, 'end_token': 8344, 'start_byte': 164936, 'start_token': 8343}]}, {'short_answer2': [{'end_byte': 66579, 'end_token': 198, 'start_byte': 66575, 'start_token': 197}]}, {'short_answer3': [{'end_byte': 119773, 'end_token': 4553, 'start_byte': 119769, 'start_token': 4552}]}]",NONE
List of Nigerian states by GDP,which state is the richest state in nigeria,"[{'short_answer1': [{'end_byte': 57922, 'end_token': 126, 'start_byte': 57911, 'start_token': 124}]}, {'short_answer2': [{'end_byte': 57922, 'end_token': 126, 'start_byte': 57911, 'start_token': 124}]}, {'short_answer3': [{'end_byte': 57922, 'end_token': 126, 'start_byte': 57911, 'start_token': 124}]}, {'short_answer4': [{'end_byte': 57922, 'end_token': 126, 'start_byte': 57911, 'start_token': 124}]}]",NONE
List of presidents of the United States by age,who was the oldest man elected president of usa,"[{'short_answer1': [{'end_byte': 132402, 'end_token': 5843, 'start_byte': 132390, 'start_token': 5841}]}, {'short_answer2': [{'end_byte': 60942, 'end_token': 418, 'start_byte': 60929, 'start_token': 416}]}, {'short_answer3': [{'end_byte': 60942, 'end_token': 418, 'start_byte': 60929, 'start_token': 416}]}]",NONE
Islam and clothing,what is the name of the muslim dress,"[{'short_answer1': [{'end_byte': 67010, 'end_token': 1014, 'start_byte': 67005, 'start_token': 1013}]}, {'short_answer2': [{'end_byte': 74170, 'end_token': 1327, 'start_byte': 74165, 'start_token': 1326}]}]",NONE
Ursula (The Little Mermaid),who was ursula the sea witch based on,"[{'short_answer1': [{'end_byte': 58946, 'end_token': 285, 'start_byte': 58697, 'start_token': 266}]}, {'short_answer2': [{'end_byte': 58946, 'end_token': 285, 'start_byte': 58697, 'start_token': 266}]}, {'short_answer3': [{'end_byte': 84618, 'end_token': 2410, 'start_byte': 84458, 'start_token': 2404}]}, {'short_answer4': [{'end_byte': 58946, 'end_token': 285, 'start_byte': 58697, 'start_token': 266}]}]",NONE
Politics of the United States,what is the democracy of the united states,"[{'short_answer1': [{'end_byte': 75057, 'end_token': 479, 'start_byte': 75041, 'start_token': 477}]}]",NONE
Kumulipo,the creation of human beings in the kumulipo happens during which wā or period of creation,"[{'short_answer1': [{'end_byte': 53267, 'end_token': 1173, 'start_byte': 53258, 'start_token': 1171}]}, {'short_answer2': [{'end_byte': 53274, 'end_token': 1174, 'start_byte': 53258, 'start_token': 1171}]}, {'short_answer3': [{'end_byte': 53274, 'end_token': 1174, 'start_byte': 53255, 'start_token': 1170}]}]",NONE
Going commando,where does the expression go commando come from,[],NONE
List of state and union territory capitals in India,how many states have two capitals in india,[],NONE
History of the United States Democratic Party,when did the democratic party change its name,"[{'short_answer1': [{'end_byte': 86946, 'end_token': 1925, 'start_byte': 86937, 'start_token': 1923}]}]",NONE
Nuclear localization sequence,nls is a short stretch of amino acyl residues in the protein destined to the nucleus,[],NONE
Talia Shire,who played rocky's son in the rocky movies,[],NONE
Environmental impact of aviation,what percentage of global man-made co2 emissions comes from worldwide aviation,"[{'short_answer1': [{'end_byte': 74128, 'end_token': 1114, 'start_byte': 74101, 'start_token': 1110}]}]",NONE
Elimination Chamber (2018),who won the 7 man elimination chamber match,"[{'short_answer1': [{'end_byte': 102956, 'end_token': 4316, 'start_byte': 102944, 'start_token': 4314}]}, {'short_answer2': [{'end_byte': 62664, 'end_token': 417, 'start_byte': 62652, 'start_token': 415}]}, {'short_answer3': [{'end_byte': 62664, 'end_token': 417, 'start_byte': 62652, 'start_token': 415}]}, {'short_answer4': [{'end_byte': 62664, 'end_token': 417, 'start_byte': 62652, 'start_token': 415}]}]",NONE
Royal Mint,when did the royal mint move to wales,"[{'short_answer1': [{'end_byte': 62994, 'end_token': 407, 'start_byte': 62984, 'start_token': 404}]}, {'short_answer2': [{'end_byte': 121914, 'end_token': 4755, 'start_byte': 121910, 'start_token': 4754}]}, {'short_answer3': [{'end_byte': 121914, 'end_token': 4755, 'start_byte': 121898, 'start_token': 4752}]}]",NONE
The Coroner,will there be another series of the coroner,[],NO
Snickers,when did marathon change its name to snickers,"[{'short_answer1': [{'end_byte': 57737, 'end_token': 151, 'start_byte': 57725, 'start_token': 148}]}, {'short_answer2': [{'end_byte': 57737, 'end_token': 151, 'start_byte': 57725, 'start_token': 148}]}, {'short_answer3': [{'end_byte': 57737, 'end_token': 151, 'start_byte': 57725, 'start_token': 148}]}, {'short_answer4': [{'end_byte': 57737, 'end_token': 151, 'start_byte': 57725, 'start_token': 148}]}]",NONE
Flexor digitorum profundus muscle,which of the following is a part of the insertion of the flexor digitorum profundus,[],NONE
The Time Machine,summary of the book the time machine by hg wells,[],NONE
The Island of Doctor Moreau,how does montgomery died in the island of dr moreau,"[{'short_answer1': [{'end_byte': 54037, 'end_token': 1374, 'start_byte': 53937, 'start_token': 1354}]}, {'short_answer2': [{'end_byte': 54037, 'end_token': 1374, 'start_byte': 54008, 'start_token': 1368}]}, {'short_answer3': [{'end_byte': 54037, 'end_token': 1374, 'start_byte': 54002, 'start_token': 1367}]}]",NONE
Thirty pieces of silver,who sold out jesus for 30 pieces of silver,"[{'short_answer1': [{'end_byte': 43574, 'end_token': 47, 'start_byte': 43560, 'start_token': 45}]}, {'short_answer2': [{'end_byte': 43574, 'end_token': 47, 'start_byte': 43560, 'start_token': 45}]}, {'short_answer3': [{'end_byte': 43574, 'end_token': 47, 'start_byte': 43560, 'start_token': 45}]}, {'short_answer4': [{'end_byte': 43574, 'end_token': 47, 'start_byte': 43560, 'start_token': 45}]}]",NONE
Draining and development of the Everglades,what were the results of the development of florida's railroads,[],NONE
List of Big Ten Conference football champions,who has the most big ten championships in football,"[{'short_answer1': [{'end_byte': 145502, 'end_token': 6837, 'start_byte': 145494, 'start_token': 6836}]}, {'short_answer2': [{'end_byte': 145502, 'end_token': 6837, 'start_byte': 145494, 'start_token': 6836}]}, {'short_answer3': [{'end_byte': 145502, 'end_token': 6837, 'start_byte': 145494, 'start_token': 6836}]}, {'short_answer4': [{'end_byte': 145502, 'end_token': 6837, 'start_byte': 145494, 'start_token': 6836}]}]",NONE
Second Amendment to the United States Constitution,what was the point of the second amendment,"[{'short_answer1': [{'end_byte': 76576, 'end_token': 675, 'start_byte': 76400, 'start_token': 664}]}, {'short_answer2': [{'end_byte': 78977, 'end_token': 833, 'start_byte': 78852, 'start_token': 808}]}]",NONE
Content (media),a synonym for the content component of communication is,"[{'short_answer1': [{'end_byte': 55761, 'end_token': 60, 'start_byte': 55750, 'start_token': 59}]}]",NONE
Order of Mass,the parts of the mass ordinary in correct order,[],NONE
We Wish You a Merry Christmas,who sings the best version of we wish you a merry christmas,[],NONE
Upper and Lower Egypt,the initial unification of upper and lower egypt took place during which period,"[{'short_answer1': [{'end_byte': 46912, 'end_token': 374, 'start_byte': 46902, 'start_token': 371}]}, {'short_answer2': [{'end_byte': 46912, 'end_token': 374, 'start_byte': 46905, 'start_token': 372}]}]",NONE
Mercedes-Benz Stadium,where is the new football stadium in atlanta,"[{'short_answer1': [{'end_byte': 60144, 'end_token': 493, 'start_byte': 60123, 'start_token': 489}]}, {'short_answer2': [{'end_byte': 68997, 'end_token': 1013, 'start_byte': 68776, 'start_token': 988}]}]",NONE
San Jose Sharks,where do the sharks play in san jose,"[{'short_answer1': [{'end_byte': 51050, 'end_token': 377, 'start_byte': 50978, 'start_token': 371}]}, {'short_answer2': [{'end_byte': 51050, 'end_token': 377, 'start_byte': 51028, 'start_token': 372}]}, {'short_answer3': [{'end_byte': 51038, 'end_token': 374, 'start_byte': 50978, 'start_token': 371}]}, {'short_answer4': [{'end_byte': 45902, 'end_token': 84, 'start_byte': 45892, 'start_token': 82}]}]",NONE
The Ranch (TV series),who plays rooster's girlfriend on the ranch,"[{'short_answer1': [{'end_byte': 69846, 'end_token': 1395, 'start_byte': 69835, 'start_token': 1393}]}, {'short_answer2': [{'end_byte': 69846, 'end_token': 1395, 'start_byte': 69835, 'start_token': 1393}, {'end_byte': 71197, 'end_token': 1555, 'start_byte': 71184, 'start_token': 1553}]}, {'short_answer3': [{'end_byte': 69846, 'end_token': 1395, 'start_byte': 69835, 'start_token': 1393}]}]",NONE
Talk:Mode (statistics),statistics.statistics error no unique mode found 2 equally common values,[],NONE
Root mean square,the value of a direct current and the peak value of a sinusoidal alternating current are equal,[],NONE
Gunsmoke: To the Last Man,where was gunsmoke to the last man filmed,"[{'short_answer1': [{'end_byte': 57509, 'end_token': 192, 'start_byte': 57494, 'start_token': 189}]}, {'short_answer2': [{'end_byte': 57509, 'end_token': 192, 'start_byte': 57494, 'start_token': 189}]}, {'short_answer3': [{'end_byte': 57509, 'end_token': 192, 'start_byte': 57494, 'start_token': 189}]}, {'short_answer4': [{'end_byte': 57509, 'end_token': 192, 'start_byte': 57494, 'start_token': 189}]}]",NONE
List of bones of the human skeleton,where are more than half your bones located,"[{'short_answer1': [{'end_byte': 49417, 'end_token': 247, 'start_byte': 49324, 'start_token': 244}]}]",NONE
2017–18 UEFA Champions League knockout phase,when does the champions league round of 16 start,"[{'short_answer1': [{'end_byte': 55040, 'end_token': 40, 'start_byte': 55029, 'start_token': 38}]}, {'short_answer2': [{'end_byte': 55040, 'end_token': 40, 'start_byte': 55029, 'start_token': 38}]}, {'short_answer3': [{'end_byte': 59676, 'end_token': 291, 'start_byte': 59641, 'start_token': 282}]}]",NONE
French and Indian War,who was defeated in the french and indian war,"[{'short_answer1': [{'end_byte': 60440, 'end_token': 178, 'start_byte': 60434, 'start_token': 177}, {'end_byte': 61183, 'end_token': 188, 'start_byte': 61163, 'start_token': 186}]}, {'short_answer2': [{'end_byte': 57033, 'end_token': 101, 'start_byte': 57026, 'start_token': 100}]}, {'short_answer3': [{'end_byte': 88809, 'end_token': 1431, 'start_byte': 88799, 'start_token': 1429}]}, {'short_answer4': [{'end_byte': 89207, 'end_token': 1465, 'start_byte': 89201, 'start_token': 1464}]}]",NONE
The 9th Life of Louis Drax,where was the 9th life of louis drax filmed,[],NONE
My Baby You,marc anthony my baby you dedicated to his daughter,[],YES
Harry Potter and the Deathly Hallows – Part 1,who dies in the beginning of deathly hallows part 1,"[{'short_answer1': [{'end_byte': 73393, 'end_token': 986, 'start_byte': 73380, 'start_token': 982}, {'end_byte': 73496, 'end_token': 988, 'start_byte': 73490, 'start_token': 987}]}, {'short_answer2': [{'end_byte': 73393, 'end_token': 986, 'start_byte': 73380, 'start_token': 982}, {'end_byte': 73496, 'end_token': 988, 'start_byte': 73490, 'start_token': 987}]}]",NONE
"Love Me, I'm a Liberal",love me i'm a liberal song meaning,"[{'short_answer1': [{'end_byte': 54908, 'end_token': 199, 'start_byte': 54738, 'start_token': 188}]}]",NONE
Timeline of the introduction of color television in countries,when did colour tv come out in uk,"[{'short_answer1': [{'end_byte': 194618, 'end_token': 5990, 'start_byte': 194606, 'start_token': 5986}]}, {'short_answer2': [{'end_byte': 194302, 'end_token': 5967, 'start_byte': 194288, 'start_token': 5962}]}, {'short_answer3': [{'end_byte': 194618, 'end_token': 5990, 'start_byte': 194614, 'start_token': 5989}]}]",NONE
The Phantom of the Opera (1986 musical),who wrote the music phantom of the opera,"[{'short_answer1': [{'end_byte': 64923, 'end_token': 399, 'start_byte': 64904, 'start_token': 396}]}, {'short_answer2': [{'end_byte': 58230, 'end_token': 84, 'start_byte': 58211, 'start_token': 81}]}, {'short_answer3': [{'end_byte': 64923, 'end_token': 399, 'start_byte': 64904, 'start_token': 396}]}, {'short_answer4': [{'end_byte': 64923, 'end_token': 399, 'start_byte': 64904, 'start_token': 396}]}]",NONE
History of United States postage rates,what is cost of first class mail stamp,"[{'short_answer1': [{'end_byte': 60355, 'end_token': 2219, 'start_byte': 60347, 'start_token': 2217}]}, {'short_answer2': [{'end_byte': 61081, 'end_token': 2330, 'start_byte': 61073, 'start_token': 2328}]}, {'short_answer3': [{'end_byte': 53611, 'end_token': 1592, 'start_byte': 53608, 'start_token': 1590}]}, {'short_answer4': [{'end_byte': 53611, 'end_token': 1592, 'start_byte': 53608, 'start_token': 1590}]}]",NONE
Hyori's Homestay,hyori bed and breakfast season 2 air date,"[{'short_answer1': [{'end_byte': 69882, 'end_token': 1187, 'start_byte': 69866, 'start_token': 1183}]}]",NONE
List of Orange Is the New Black characters,short blonde hair girl from orange is the new black,[],NONE
Baby Baby (Amy Grant song),the game needed life i put my heart in it lyrics,[],NONE
Scopes Trial,who represented the state of tennessee in the scopes trial,"[{'short_answer1': [{'end_byte': 45936, 'end_token': 342, 'start_byte': 45914, 'start_token': 339}]}, {'short_answer2': [{'end_byte': 45936, 'end_token': 342, 'start_byte': 45914, 'start_token': 339}]}]",NONE
Form 990,what is the irs form 990 used for,"[{'short_answer1': [{'end_byte': 55869, 'end_token': 54, 'start_byte': 55792, 'start_token': 44}]}, {'short_answer2': [{'end_byte': 55869, 'end_token': 54, 'start_byte': 55792, 'start_token': 44}, {'end_byte': 56020, 'end_token': 82, 'start_byte': 55931, 'start_token': 68}]}]",NONE
Mercury-in-glass thermometer,when did they stop using mercury in thermometers,[],NONE
Land Rover Defender,when was the land rover defender first built,"[{'short_answer1': [{'end_byte': 60123, 'end_token': 269, 'start_byte': 60111, 'start_token': 266}]}, {'short_answer2': [{'end_byte': 58023, 'end_token': 103, 'start_byte': 58019, 'start_token': 102}]}, {'short_answer3': [{'end_byte': 58023, 'end_token': 103, 'start_byte': 58019, 'start_token': 102}]}, {'short_answer4': [{'end_byte': 68337, 'end_token': 760, 'start_byte': 68333, 'start_token': 759}]}]",NONE
Rachel Tucker,who played the wicked witch in wicked on broadway,"[{'short_answer1': [{'end_byte': 56699, 'end_token': 113, 'start_byte': 56680, 'start_token': 110}]}]",NONE
Cinderella (1914 film),which glass slipper did cinderella leave behind at the ball,[],NONE
American Idol,when did this season of american idol start,"[{'short_answer1': [{'end_byte': 183321, 'end_token': 10538, 'start_byte': 183307, 'start_token': 10534}]}, {'short_answer2': [{'end_byte': 63747, 'end_token': 672, 'start_byte': 63733, 'start_token': 668}]}, {'short_answer3': [{'end_byte': 63747, 'end_token': 672, 'start_byte': 63733, 'start_token': 668}]}, {'short_answer4': [{'end_byte': 63747, 'end_token': 672, 'start_byte': 63733, 'start_token': 668}]}]",NONE
Galactik Football,when is galactik football season 4 coming out,[],NONE
Safavid art,what type of artwork was created in the safavid empire,"[{'short_answer1': [{'end_byte': 56091, 'end_token': 56, 'start_byte': 56087, 'start_token': 55}, {'end_byte': 56108, 'end_token': 58, 'start_byte': 56096, 'start_token': 57}, {'end_byte': 56137, 'end_token': 63, 'start_byte': 56129, 'start_token': 62}, {'end_byte': 56144, 'end_token': 65, 'start_byte': 56139, 'start_token': 64}, {'end_byte': 56151, 'end_token': 67, 'start_byte': 56146, 'start_token': 66}, {'end_byte': 56164, 'end_token': 70, 'start_byte': 56157, 'start_token': 69}]}]",NONE
"O the Deep, Deep Love of Jesus",o the deep deep love of jesus samuel trevor francis,[],NONE
Bethabara,bethany on the other side of the jordan,[],NONE
